Total Length of Bwd Packets,Bwd Packet Length Mean,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Avg Bwd Segment Size,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,Label
74916,955,1351,547,208973,1530,972,57994,65216,65281,ATTACK
45690,1290,1725,487,148632,1488,828,74488,65083,65083,ATTACK
68959,1353,1363,367,129212,1690,959,45564,65361,65318,ATTACK
10466,323,368,121,19229,451,237,13606,62327,60837,BENIGN
70863,849,1795,302,200028,1836,1101,55325,65499,65430,ATTACK
11927,234,434,104,13078,459,292,10142,63995,62968,BENIGN
46976,1499,1233,579,242094,1315,1384,72719,65125,65044,ATTACK
9830,277,369,102,14766,435,327,11457,60123,58626,BENIGN
71930,944,1230,574,193880,1645,1003,65071,65003,65162,ATTACK
43188,1275,1322,405,121459,1605,1226,50924,65005,65027,ATTACK
14019,359,396,122,14124,380,304,12665,62516,62808,BENIGN
56300,1133,1364,565,255979,1586,937,58551,65386,65441,ATTACK
53491,906,1264,356,180962,1798,971,44657,65176,65094,ATTACK
77686,887,1379,573,290422,1263,1260,69103,65090,65211,ATTACK
8149,212,545,111,21385,443,282,8047,63988,58447,BENIGN
14147,392,384,118,12146,369,221,8491,61435,61752,BENIGN
8106,260,367,117,19299,533,221,9350,63414,63425,BENIGN
63647,872,1788,557,151804,1410,958,49308,65387,65394,ATTACK
52623,1364,1858,303,260042,1285,1036,73914,65006,65195,ATTACK
14611,327,392,106,16652,518,244,12122,62399,61346,BENIGN
65833,837,1523,516,296257,1337,1308,57796,65445,65524,ATTACK
61312,1378,1638,500,279732,1692,996,57674,65479,65476,ATTACK
54207,1257,1667,353,117607,1363,1135,70339,65494,65430,ATTACK
68227,931,1319,447,121611,1435,1306,66608,65379,65330,ATTACK
10576,282,493,118,15930,538,240,9800,62302,64264,BENIGN
70144,1043,1413,392,296945,1829,1055,52846,65444,65017,ATTACK
9772,252,474,146,8582,499,266,13643,62815,60390,BENIGN
12689,319,439,111,16613,449,309,7899,64681,63100,BENIGN
8188,374,454,143,13974,434,344,13699,60169,59265,BENIGN
68766,1417,1744,554,129222,1372,1304,64442,65313,65214,ATTACK
8657,286,486,108,12132,376,226,9345,64413,58484,BENIGN
12701,260,471,128,16996,481,208,8302,61546,60781,BENIGN
8447,374,523,112,22746,446,207,12979,64470,60067,BENIGN
69016,1108,1689,447,177174,1776,1330,76228,65527,65532,ATTACK
79366,1020,1956,484,177274,1872,1365,60351,65447,65149,ATTACK
49304,1491,1702,577,100687,1832,1186,54018,65344,65173,ATTACK
13967,222,489,143,8757,394,310,10854,61836,64483,BENIGN
14853,331,529,101,23616,448,228,8903,61656,60683,BENIGN
59067,1318,1620,462,245220,1435,894,74715,65401,65527,ATTACK
75953,1332,1816,340,289462,1478,1001,70479,65502,65340,ATTACK
65296,943,1547,538,169149,1940,1102,60142,65344,65040,ATTACK
11379,215,437,100,12124,469,279,13321,62315,58184,BENIGN
13111,211,396,122,15453,372,201,8812,61482,59980,BENIGN
12964,227,491,101,11569,503,339,12910,61155,59780,BENIGN
77780,1366,1741,439,142659,1299,1104,60088,65416,65090,ATTACK
10923,316,378,95,14735,410,275,7325,62052,61107,BENIGN
78553,838,1924,442,239373,1326,803,49176,65303,65179,ATTACK
60185,1128,1473,350,190866,1259,1086,58445,65492,65126,ATTACK
13958,230,353,141,24841,497,271,10302,64916,60745,BENIGN
56719,1122,1227,539,205487,1358,1285,43923,65174,65222,ATTACK
14157,315,439,83,17804,390,260,12832,64329,59076,BENIGN
47379,857,1674,444,163887,1240,926,65996,65270,65420,ATTACK
79123,935,1535,418,170901,1332,1145,70948,65214,65271,ATTACK
11606,253,531,95,21138,416,340,9688,60894,64766,BENIGN
60807,1472,1556,477,170404,1947,1254,79692,65325,65519,ATTACK
8485,209,357,146,21927,358,272,8829,60145,62678,BENIGN
8989,281,400,146,20249,392,227,8353,64533,58772,BENIGN
77797,1194,1236,336,137338,1343,1271,65055,65335,65226,ATTACK
9816,306,431,127,19560,387,276,12280,63953,60437,BENIGN
12907,232,368,144,16970,379,212,9778,63734,61561,BENIGN
14743,276,478,125,6186,366,336,7557,64734,58825,BENIGN
79860,1137,1971,548,242373,1409,930,43554,65279,65375,ATTACK
9424,260,354,101,21026,469,249,8872,65217,61751,BENIGN
13383,324,433,121,14785,494,328,11361,61878,64659,BENIGN
10526,262,455,140,9083,425,307,7002,63473,61846,BENIGN
14551,335,516,88,22476,549,232,8692,62916,62484,BENIGN
10815,276,452,132,15286,411,332,12337,62366,58122,BENIGN
46785,1363,1922,536,260242,1396,834,74175,65022,65350,ATTACK
57733,1156,1473,418,249024,1748,1340,79339,65352,65281,ATTACK
10657,288,514,132,10804,403,284,9775,61430,62996,BENIGN
13291,295,535,85,13147,375,249,12881,61824,60380,BENIGN
40527,926,1340,379,234343,1765,907,70245,65423,65104,ATTACK
11317,236,476,82,15064,504,326,12261,61378,61034,BENIGN
68946,1225,1620,549,186730,1449,963,41725,65354,65197,ATTACK
13474,368,496,109,23352,354,253,12383,63449,62123,BENIGN
48950,1010,1483,483,290920,1883,1279,59694,65054,65233,ATTACK
12908,267,544,146,6564,518,208,8001,61497,64802,BENIGN
9600,221,516,107,11071,537,223,11907,60897,61245,BENIGN
75622,1248,1739,330,240310,1541,981,43280,65449,65094,ATTACK
70556,877,1443,402,291845,1286,886,62346,65431,65032,ATTACK
79702,1216,1975,555,106602,1283,1211,59426,65095,65266,ATTACK
72876,1220,1583,493,148142,1344,1174,54156,65390,65083,ATTACK
51365,866,1707,409,193706,1497,1132,65037,65146,65321,ATTACK
70348,1435,1653,560,215466,1809,1204,54661,65398,65139,ATTACK
49681,992,1735,556,150316,1866,992,48676,65160,65326,ATTACK
67382,941,1853,500,255055,1922,1145,54324,65202,65175,ATTACK
8364,253,413,127,23190,540,255,11922,62127,60741,BENIGN
76090,1459,1312,513,219831,1973,957,70693,65505,65448,ATTACK
64614,802,1409,353,187662,1954,1351,74768,65061,65049,ATTACK
58857,1316,1801,314,228425,1662,1114,68543,65260,65080,ATTACK
11341,337,373,97,21596,386,249,12236,61627,64508,BENIGN
64621,1021,1666,481,159744,1490,1222,48964,65024,65071,ATTACK
9096,305,386,109,11842,538,249,10169,64497,61130,BENIGN
56106,1125,1669,521,270190,1553,1325,51876,65438,65082,ATTACK
64595,1314,1263,420,107077,1639,1131,52694,65411,65494,ATTACK
10448,383,403,116,19535,410,278,7329,62072,60471,BENIGN
48397,1391,1990,518,258142,1479,1045,58327,65223,65364,ATTACK
13176,286,366,103,20115,497,287,8365,61243,59348,BENIGN
14619,264,453,100,6641,547,280,10544,61555,60556,BENIGN
40725,1089,1702,551,204921,1453,1158,67294,65489,65229,ATTACK
69422,930,1319,534,276523,1617,880,70434,65440,65429,ATTACK
9532,366,416,90,7025,483,225,9211,64792,61015,BENIGN
43327,872,1526,440,241132,1286,873,46834,65421,65176,ATTACK
14248,386,525,80,16591,487,264,11506,60377,62044,BENIGN
10741,315,524,141,10732,452,326,7820,62162,59903,BENIGN
47304,1184,1946,504,251404,1748,1211,70758,65527,65031,ATTACK
79965,1206,1616,306,156975,1459,830,42818,65058,65040,ATTACK
64566,830,1392,530,180698,1788,821,53368,65502,65118,ATTACK
12153,284,434,88,21576,487,204,7848,61822,62354,BENIGN
10202,378,372,90,6718,534,227,10628,62246,59335,BENIGN
11698,290,372,124,8787,520,338,10604,62301,62330,BENIGN
12445,387,549,96,23164,371,261,13688,60010,61881,BENIGN
9279,207,432,111,20376,381,325,10919,63172,59609,BENIGN
59289,1111,1628,371,247608,1391,1067,71140,65196,65038,ATTACK
12901,230,488,148,6717,466,331,7340,64815,64968,BENIGN
11659,230,455,117,20911,401,299,7006,60291,60556,BENIGN
9198,247,546,147,23890,508,218,11103,60778,60759,BENIGN
72856,849,1252,320,195944,1479,1263,64835,65217,65075,ATTACK
8189,311,494,108,19319,536,269,13686,65413,64980,BENIGN
48681,1285,1466,521,145971,1477,1094,67176,65386,65412,ATTACK
68477,1239,1214,555,127310,1226,892,68954,65288,65122,ATTACK
9729,372,451,101,17574,351,282,9287,64601,60769,BENIGN
68928,1160,1393,515,137356,1815,949,74785,65033,65029,ATTACK
9254,261,460,112,6284,482,329,13532,63710,63539,BENIGN
62394,812,1940,448,151112,1461,844,57553,65126,65172,ATTACK
12044,298,447,88,9861,371,294,10147,62920,62748,BENIGN
9380,344,478,130,12367,530,325,9955,60847,64779,BENIGN
9810,219,414,135,23675,516,322,9932,65258,58678,BENIGN
52409,811,1952,537,274661,1339,1222,49844,65225,65453,ATTACK
40422,994,1673,365,203723,1837,1159,48771,65010,65344,ATTACK
10446,386,494,103,12788,456,329,12678,64181,60532,BENIGN
9489,203,386,140,24474,423,308,9311,60857,63232,BENIGN
71464,1333,1409,515,214928,1844,1388,76409,65232,65027,ATTACK
75954,1146,1420,304,243742,1589,1347,56517,65071,65052,ATTACK
12382,214,433,121,11579,402,279,11538,64389,62802,BENIGN
14727,228,458,111,14937,441,273,11671,63823,64647,BENIGN
8538,316,523,124,17423,410,221,8272,60025,64128,BENIGN
9218,346,526,112,16877,387,212,12487,61617,60282,BENIGN
75859,906,1934,569,222109,1867,1314,52393,65351,65236,ATTACK
41631,838,1687,586,107479,1450,1323,74270,65415,65215,ATTACK
41758,1117,1398,506,168733,1457,1005,40018,65479,65097,ATTACK
13474,249,400,134,11578,535,312,7140,62321,60928,BENIGN
50623,950,1280,588,233196,1381,1239,51125,65254,65518,ATTACK
40046,908,1883,485,237204,1610,851,73227,65100,65030,ATTACK
10910,375,547,86,13282,467,243,10571,62020,60842,BENIGN
60419,848,1303,429,215743,1408,987,64443,65013,65506,ATTACK
79554,1465,1688,586,233470,1965,1137,46670,65420,65411,ATTACK
63959,906,1374,484,140298,1746,1327,43541,65276,65371,ATTACK
12994,332,389,116,19074,419,325,10527,65513,60790,BENIGN
63055,942,1392,571,113710,1919,1215,52499,65463,65322,ATTACK
73588,1378,1344,444,208021,1798,1000,63625,65392,65237,ATTACK
42975,1311,1421,582,295529,1424,809,79288,65527,65167,ATTACK
45430,1369,1443,591,120486,1213,1324,48816,65261,65314,ATTACK
8147,233,398,139,17353,410,238,8200,61430,64246,BENIGN
12534,203,392,111,23573,463,264,11162,63367,60817,BENIGN
12179,382,399,141,15195,416,224,7545,62870,64624,BENIGN
8958,391,440,129,24164,528,227,12789,63116,58628,BENIGN
76877,1394,1706,456,278027,1325,928,57632,65358,65106,ATTACK
47792,908,1298,415,215457,1359,1334,69982,65063,65269,ATTACK
66679,935,1513,418,297023,1318,891,42824,65285,65497,ATTACK
11227,257,519,115,19593,521,306,8884,61169,58821,BENIGN
73646,1319,1716,557,178912,1579,1081,48467,65015,65343,ATTACK
49821,1404,1964,360,183370,1482,1288,44980,65266,65365,ATTACK
49819,1299,1507,558,147675,1969,901,44639,65429,65442,ATTACK
51399,985,1666,354,246309,1270,1366,68172,65033,65450,ATTACK
12461,223,509,141,7284,452,315,11507,61161,60291,BENIGN
68263,992,1653,589,165403,1222,1198,41808,65063,65442,ATTACK
61917,1391,1524,328,219850,1526,1127,56786,65123,65322,ATTACK
9000,354,479,124,19748,374,257,10454,60755,61985,BENIGN
52813,1123,1998,332,142589,1935,891,47900,65182,65283,ATTACK
9155,339,520,117,14710,395,337,12474,62184,63682,BENIGN
13806,254,375,109,11885,430,271,9347,63289,58551,BENIGN
52035,1277,1954,566,147370,1592,1032,65454,65218,65468,ATTACK
72920,1113,1603,406,294480,1966,1132,71232,65362,65320,ATTACK
76877,1471,1896,300,285345,1392,871,45262,65270,65020,ATTACK
9947,201,478,138,6940,499,202,8687,63644,58345,BENIGN
72010,1252,1258,303,209111,1442,1103,50823,65055,65271,ATTACK
69796,1309,1796,305,232727,1258,1048,75501,65195,65284,ATTACK
75298,846,1748,387,159648,1490,986,40444,65378,65354,ATTACK
45024,1086,1429,431,145959,1349,1271,60890,65254,65166,ATTACK
55620,1062,1291,581,261004,1972,1292,72408,65114,65218,ATTACK
14423,246,454,149,9781,385,213,11738,63989,61007,BENIGN
75595,844,1241,478,207988,1460,1083,50018,65013,65482,ATTACK
8544,394,464,98,7686,487,212,9759,62447,61200,BENIGN
65159,1110,1832,379,133505,1529,1297,57465,65465,65003,ATTACK
53883,1223,1632,306,150768,1233,1164,40499,65333,65365,ATTACK
41738,1439,1347,479,137356,1227,874,70549,65013,65379,ATTACK
40795,840,1269,462,177413,1827,911,66958,65141,65084,ATTACK
8786,254,451,87,11144,520,313,10874,62214,63933,BENIGN
60557,1133,1864,329,286842,1633,996,49915,65265,65107,ATTACK
60483,818,1209,527,187087,1535,1325,49087,65152,65223,ATTACK
40828,1007,1665,587,242757,1766,1220,73910,65074,65450,ATTACK
64306,1057,1426,497,264610,1793,855,79716,65281,65224,ATTACK
8275,245,451,85,9636,468,315,13146,61501,58094,BENIGN
50166,1251,1450,449,262561,1460,936,45784,65301,65479,ATTACK
47223,1409,1572,310,258335,1316,1298,78993,65025,65531,ATTACK
12245,332,518,101,14425,384,222,9373,63577,58586,BENIGN
11055,389,479,131,24290,407,257,10400,63720,59725,BENIGN
10281,369,384,130,7474,446,210,13400,60936,64015,BENIGN
12094,206,354,101,22506,436,263,12533,64542,59470,BENIGN
14160,239,384,123,10543,445,330,11458,63148,63320,BENIGN
77123,1461,1534,485,134559,1428,1144,48415,65288,65372,ATTACK
8930,303,517,86,6410,523,341,12901,65231,62944,BENIGN
8903,239,496,144,7871,450,202,13767,64088,62701,BENIGN
42073,1302,1881,592,170565,1509,867,41569,65027,65286,ATTACK
76244,1024,1998,596,192148,1282,845,63201,65234,65289,ATTACK
13630,252,421,86,21426,354,299,13002,61611,59212,BENIGN
77087,1226,1657,448,236795,1495,1195,46918,65226,65102,ATTACK
73979,1275,1702,385,115395,1748,1027,60889,65358,65186,ATTACK
9562,316,542,102,22871,352,232,8814,63968,62429,BENIGN
65435,1235,1830,583,196184,1807,1029,48354,65259,65103,ATTACK
75441,906,1572,566,284833,1684,955,65829,65292,65349,ATTACK
11112,257,469,139,6593,389,268,10803,61201,62438,BENIGN
12440,256,362,114,14686,528,236,10717,60040,60497,BENIGN
79371,1217,1229,365,284680,1327,1347,78844,65056,65407,ATTACK
41760,1070,1947,326,142364,1203,837,76665,65435,65151,ATTACK
45956,950,1754,347,298396,1658,1200,69544,65233,65263,ATTACK
66666,1333,1620,365,219667,1746,800,79876,65427,65306,ATTACK
10823,322,372,116,9906,514,208,12533,60994,61519,BENIGN
13948,278,381,81,12448,487,333,7474,62502,64409,BENIGN
12529,309,431,134,12687,367,344,7117,62885,63770,BENIGN
72456,1287,1447,301,105840,1972,969,55232,65245,65356,ATTACK
13004,338,506,97,9944,358,264,11919,63998,62834,BENIGN
48035,1351,1651,428,145186,1656,1384,42238,65306,65244,ATTACK
10906,393,548,120,9785,525,332,8772,63402,64052,BENIGN
74320,1024,1920,548,169496,1515,1190,79075,65008,65204,ATTACK
9408,211,431,105,17794,432,296,9262,63561,64807,BENIGN
13455,398,392,123,19734,381,334,9315,60760,62640,BENIGN
52582,1082,1572,595,225094,1292,1029,57239,65328,65094,ATTACK
11367,388,394,125,22278,521,232,13924,61490,60362,BENIGN
66440,1038,1836,302,288185,1310,888,61561,65277,65094,ATTACK
60384,1284,1474,598,239857,1496,1173,51008,65288,65123,ATTACK
67367,1150,1503,353,107019,1318,1031,46921,65422,65250,ATTACK
45665,1366,1815,384,204432,1293,1293,61009,65442,65152,ATTACK
47519,1113,1515,381,133736,1987,1117,40817,65179,65271,ATTACK
13742,211,505,106,23355,536,314,11424,65024,58994,BENIGN
8125,224,489,84,6880,350,349,7110,60398,64075,BENIGN
13572,254,539,126,14246,547,290,7078,61672,58586,BENIGN
62195,1310,1974,474,145542,1329,1297,52280,65154,65434,ATTACK
11175,387,389,97,24601,410,321,12064,64845,60594,BENIGN
12000,327,371,87,12548,466,256,11068,62966,62802,BENIGN
14020,377,475,128,21876,515,311,10531,63949,62016,BENIGN
64527,1263,1469,414,214625,1781,948,55185,65336,65005,ATTACK
54608,1430,1354,332,175665,1789,1098,52875,65048,65073,ATTACK
12793,261,461,148,10959,525,326,10738,63236,59732,BENIGN
10184,358,424,80,16345,357,213,9035,62984,60188,BENIGN
12318,338,399,112,10242,358,237,7905,62653,60871,BENIGN
41119,1491,1218,582,229633,1781,1031,45327,65092,65529,ATTACK
57493,1346,1832,530,241596,1914,1363,45565,65316,65230,ATTACK
9167,253,505,118,18704,433,313,8262,64655,63612,BENIGN
8968,399,402,87,14487,539,240,10851,63481,64299,BENIGN
12235,263,355,122,14189,548,207,10866,63589,62053,BENIGN
59135,990,1957,386,189618,1830,1046,57605,65480,65304,ATTACK
55333,1262,1857,533,155517,1666,883,69239,65015,65337,ATTACK
11177,318,523,122,9386,478,329,7089,64627,59182,BENIGN
8199,225,354,147,16200,429,222,11508,64527,61152,BENIGN
13416,269,515,145,23727,464,272,11990,64000,58501,BENIGN
51088,1255,1582,537,143328,1703,861,45184,65241,65491,ATTACK
51943,942,1696,373,182105,1869,1116,69089,65440,65295,ATTACK
11965,274,458,148,17822,425,305,7040,60860,64088,BENIGN
9633,205,511,141,13855,526,231,12362,60998,62826,BENIGN
74358,1172,1693,381,137441,1386,882,68046,65505,65331,ATTACK
60109,1013,1978,366,226013,1614,1157,74508,65439,65229,ATTACK
41905,1201,1556,598,100217,1420,869,67752,65303,65522,ATTACK
12181,354,485,143,11417,384,338,8796,63357,58435,BENIGN
14806,381,480,104,15710,389,346,11861,62360,63196,BENIGN
13772,384,505,129,11002,485,208,10886,62328,63743,BENIGN
11010,229,379,128,11962,445,295,13750,62417,62196,BENIGN
69112,1276,1751,389,182761,1256,1024,77419,65026,65340,ATTACK
61429,965,1706,505,256368,1508,1128,63564,65296,65135,ATTACK
59827,1416,1312,397,168440,1423,1389,76986,65123,65231,ATTACK
8911,360,545,131,17528,492,239,10863,65208,60149,BENIGN
10613,282,474,119,22009,414,214,7632,60683,58553,BENIGN
11261,280,371,83,16827,526,272,13203,60713,64076,BENIGN
79532,1023,1514,303,276617,1925,888,62903,65482,65027,ATTACK
12419,396,539,82,15212,369,327,13959,64755,61800,BENIGN
8424,379,467,105,19043,503,338,9386,64648,60082,BENIGN
63838,1029,1380,502,168670,1642,1220,67193,65097,65040,ATTACK
12776,221,520,116,14707,391,200,12244,63744,58981,BENIGN
9971,206,384,122,9777,474,322,8630,62461,59167,BENIGN
57287,1346,1704,549,256082,1578,1329,65641,65030,65128,ATTACK
49072,1192,1356,347,148670,1868,1383,71374,65516,65420,ATTACK
49231,934,1534,372,283512,1608,1048,66852,65136,65182,ATTACK
12976,235,430,107,8074,375,303,7330,65043,63298,BENIGN
14611,349,449,96,10810,512,230,8937,63683,58746,BENIGN
70849,1314,1325,596,186456,1310,1267,45948,65397,65222,ATTACK
61120,1384,1432,398,290014,1659,1118,56978,65472,65444,ATTACK
59956,1271,1451,374,172131,1422,929,63537,65332,65151,ATTACK
